Agency Name,Program Name,Populations Served,Agency Phone,Program Phone,Program Address 1,Program City,Program State,Program Zip,Program County,Program Region,Program Type Description,Program Category Description,Program Subcategory Description,Complete Address,lat,lon
Niagara County Department of Mental Health,Crisis Outreach Coordination & AOT,Not Reported,(716)439-7410,(716)285-3518,1001 11th Street,Niagara Falls,NY,14301,Niagara,Western New York,Crisis  Intervention,Emergency,Crisis,1001 11th Street Niagara Falls Niagara NY US 14301,43.098675,-79.0495500222984
Niagara County Department of Mental Health,Forensic Non-Medicaid Care Coordination,Adults,(716)439-7410,(716)278-8798,1001 11th Street,Niagara Falls,NY,14301,Niagara,Western New York,Non-Medicaid Care Coordination,Support,Care Coordination,1001 11th Street Niagara Falls Niagara NY US 14301,43.098675,-79.0495500222984
Niagara County Department of Mental Health,Hospital Diversion Engagement Team,Adults,(716)439-7410,(716)278-8176,1001 11th Street,Niagara Falls,NY,14301,Niagara,Western New York,Crisis  Intervention,Emergency,Crisis,1001 11th Street Niagara Falls Niagara NY US 14301,43.098675,-79.0495500222984
Niagara County Department of Mental Health,Hospital Diversion Mobile Transition,Adults,(716)439-7410,(716)278-8198,1001 11th Street,Niagara Falls,NY,14301,Niagara,Western New York,Crisis  Intervention,Emergency,Crisis,1001 11th Street Niagara Falls Niagara NY US 14301,43.098675,-79.0495500222984
Niagara County Department of Mental Health,Jail Pilot Planning & Implementation Program,Not Reported,(716)439-7410,(716)439-7410,5467 Upper Mountain Road,Lockport,NY,14094,Niagara,Western New York,Advocacy/Support Services,Support,Self-Help,5467 Upper Mountain Road Lockport Niagara NY US 14094,43.1775415,-78.7379836827589
Niagara County Department of Mental Health,Lockport Outpatient Clinic,Adults,(716)439-7410,(716)439-7400,5467 Upper Mountain Road,Lockport,NY,14094-1899,Niagara,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,5467 Upper Mountain Road Lockport Niagara NY US 14094-1899,43.1775415,-78.7379836827589
Niagara County Department of Mental Health,Niagara Falls Outpatient Clinic,Adults,(716)439-7410,(716)278-1940,1001 11th Street,Niagara Falls,NY,14301-1201,Niagara,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,1001 11th Street Niagara Falls Niagara NY US 14301-1201,43.098675,-79.0495500222984
Niagara County Department of Mental Health,Partnership Innovation for Older Adults,Adults,(716)439-7410,(716)278-8177,1001 Eleventh St.,Niagara Falls,NY,14301,Niagara,Western New York,Geriatric Demo Gatekeeper,Support,General Support,1001 Eleventh St. Niagara Falls Niagara NY US 14301,43.099224,-79.050934
Niagara County Department of Mental Health,Transitional Case Management,Adults,(716)439-7410,(716)278-8198,1001 11th Street,Niagara Falls,NY,14301,Niagara,Western New York,Transition Management Services,Support,Care Coordination,1001 11th Street Niagara Falls Niagara NY US 14301,43.098675,-79.0495500222984
Niagara County Department of Mental Health,Youth in Probation,Children Adolescents,(716)439-7410,(716)258-3519,1001 11th Street,Niagara Falls,NY,14301,Niagara,Western New York,Outreach,Support,General Support,1001 11th Street Niagara Falls Niagara NY US 14301,43.098675,-79.0495500222984
Niagara Falls Memorial Medical Center,Niagara Falls CMHC Continuing Day Treatment,Adults,(716)278-4000,(716)278-4557,621 Tenth Street,Niagara Falls,NY,14301-1813,Niagara,Western New York,Continuing Day Treatment,Outpatient,Continuing Day Treatment,621 Tenth Street Niagara Falls Niagara NY US 14301-1813,43.093506,-79.05042
Niagara Falls Memorial Medical Center,Niagara Falls Memorial Medical Center Clinic Treatment Prog,Adults,(716)278-4000,(716)278-4000,621 Tenth Street,Niagara Falls,NY,14301-1813,Niagara,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,621 Tenth Street Niagara Falls Niagara NY US 14301-1813,43.093506,-79.05042
Niagara Falls Memorial Medical Center,Niagara Falls Memorial Medical Center CMHC Inpatient Program,Adults,(716)278-4000,(716)278-4580,621 Tenth Street,Niagara Falls,NY,14301-1813,Niagara,Western New York,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,621 Tenth Street Niagara Falls Niagara NY US 14301-1813,43.093506,-79.05042
The Dale Association Inc.,Community Mental Health Nurse,Adults,(716)433-4440,(716)433-1961x107,33 Ontario Street,Lockport,NY,14094,Niagara,Western New York,Outreach,Support,General Support,33 Ontario Street Lockport Niagara NY US 14094,43.1716206,-78.6937299710539
The Dale Association Inc.,Peer Specialists,Adults,(716)433-4440,(716)433-1937,33 Ontario Street,Lockport,NY,14094,Niagara,Western New York,Advocacy/Support Services,Support,Self-Help,33 Ontario Street Lockport Niagara NY US 14094,43.1716206,-78.6937299710539
The Dale Association Inc.,The Dale Association Counseling & Treatment Center,Adults,(716)433-4440,(716)693-9961,624 River Road,North Tonawanda,NY,14120-6561,Niagara,Western New York,Clinic Treatment,Outpatient,Clinic Treatment,624 River Road North Tonawanda Niagara NY US 14120-6561,43.0363345,-78.8876492719207
The Dale Association Inc.,The Dale Association Inc. PROS,Adults,(716)433-4440,(716)433-4443,33 Ontario Street,Lockport,NY,14094-2815,Niagara,Western New York,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,33 Ontario Street Lockport Niagara NY US 14094-2815,43.1716206,-78.6937299710539
UCP of Niagara County Inc.,Ongoing Integrated Supported Employment Services,Adults,(716)297-0798,(716)299-0851,4701 Military Rd,Niagara Falls,NY,14305,Niagara,Western New York,Ongoing Integrated Supported Employment Services,Support,Vocational,4701 Military Rd Niagara Falls Niagara NY US 14305,43.0924875,-78.9700994
Cath Char RC Dio/Syr NY Inc-Oneida/Madison,CSS Transportation - Utica,Not Reported,(315)724-2158,(315)724-2150x0258,1408 Genesee Street,Utica,NY,13502-4783,Oneida,Central New York,Transportation,Support,General Support,1408 Genesee Street Utica Oneida NY US 13502-4783,43.095,-75.245
Cath Char RC Dio/Syr NY Inc-Oneida/Madison,Psychosocial Club,Not Reported,(315)724-2158,(315)724-0120x222,1301 Howard Avenue,Utica,NY,13501,Oneida,Central New York,Psychosocial Club,Support,Self-Help,1301 Howard Avenue Utica Oneida NY US 13501,43.091622,-75.233923
Cath Char RC Dio/Syr NY Inc-Oneida/Madison,Supported Housing,Adults,(315)724-2158,(315)724-2158x252,1408 Genesee Street,Utica,NY,13502,Oneida,Central New York,Advocacy/Support Services,Support,Self-Help,1408 Genesee Street Utica Oneida NY US 13502,43.095,-75.245
Center for Family Life and Recovery Inc.,Self Help,Children Adolescents Adults,(315)733-1709,(315)733-1709,502 Court Street,Utica,NY,13502,Oneida,Central New York,Self-Help Programs,Support,Self-Help,502 Court Street Utica Oneida NY US 13502,43.1020351,-75.2394568851346
Center for Family Life and Recovery Inc.,Suicide Prevention Services,Children Adolescents Adults,(315)733-1709,(315)733-1709,502 Court Street,Utica,NY,13502,Oneida,Central New York,Advocacy/Support Services,Support,Self-Help,502 Court Street Utica Oneida NY US 13502,43.1020351,-75.2394568851346
Central New York Psychiatric Center,Marcy Residential Mental Health Unit,Adults,(315)765-3600,(315)769-1400,Route 4,Marcy,NY,13403,Oneida,Central New York,Prison-based Forensic Mental Health Units,Support,Forensics,Route 4 Marcy Oneida NY US 13403,43.170632,-75.29171
Central New York Psychiatric Center,Mid-State Satellite Unit,Adults,(315)765-3600,(315)768-8581,River Road,Marcy,NY,13403,Oneida,Central New York,Prison-based Forensic Mental Health Units,Support,Forensics,River Road Marcy Oneida NY US 13403,43.1383421,-75.2768073
Central New York Psychiatric Center,Mohawk Mental Health Unit,Adults,(315)765-3600,(315)768-8581,6100 School Road,Rome,NY,13440,Oneida,Central New York,Prison-based Forensic Mental Health Units,Support,Forensics,6100 School Road Rome Oneida NY US 13440,43.1863582550259,-75.4860285507579
Central New York Psychiatric Center,Psychiatric Inpatient Unit,Adults,(315)765-3600,(315)765-3600,9005 Old River Road,Marcy,NY,13403-0300,Oneida,Central New York,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,9005 Old River Road Marcy Oneida NY US 13403-0300,43.1442885589436,-75.2909951946763
Central New York Psychiatric Center,Walsh Mental Health Unit,Adults,(315)765-3600,(315)339-5232,6100 School Road,Rome,NY,13440,Oneida,Central New York,Prison-based Forensic Mental Health Units,Support,Forensics,6100 School Road Rome Oneida NY US 13440,43.1863582550259,-75.4860285507579
Central New York Services Inc.,Advocacy,Adults,(315)478-2453,(315)478-2453,235 Elizabeth Street,Utica,NY,13501,Oneida,Central New York,Advocacy/Support Services,Support,Self-Help,235 Elizabeth Street Utica Oneida NY US 13501,43.1004999757052,-75.2286202935695
Central New York Services Inc.,Screening - Court Program,Not Reported,(315)478-2453,(315)735-2281,413 West Street,Utica,NY,13502,Oneida,Central New York,Outreach,Support,General Support,413 West Street Utica Oneida NY US 13502,43.096593,-75.232561
Central New York Services Inc.,Screening - Jail Program,Not Reported,(315)478-2453,(315)768-4744,6075 Judd Road,Oriskany,NY,13424,Oneida,Central New York,Outreach,Support,General Support,6075 Judd Road Oriskany Oneida NY US 13424,43.157227,-75.375786
Central New York Services Inc.,Transition Management Services,Adults,(315)478-2453,(315)768-4744,6075 Judd Road,Oriskany,NY,13424,Oneida,Central New York,Transition Management Services,Support,Care Coordination,6075 Judd Road Oriskany Oneida NY US 13424,43.157227,-75.375786
Central New York Services Inc.,Transition Manangement Services,Adults,(315)478-2453,(315)768-4744,6075 Judd Road,Oriskany,NY,13424,Oneida,Central New York,Transition Management Services,Support,Care Coordination,6075 Judd Road Oriskany Oneida NY US 13424,43.157227,-75.375786
Faxton - St. Luke's Healthcare,Faxton-St. Luke's Healthcare Psychiatric IP Unit,Adults,(315)798-6000,(315)798-6000x6332,1656 Champlin Avenue,Utica,NY,13502-4830,Oneida,Central New York,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,1656 Champlin Avenue Utica Oneida NY US 13502-4830,43.097233,-75.2774568740802
House of the Good Shepherd,House of the Good Shepherd RTF,Children Adolescents,(315)235-7600,(315)235-7680,1550 Champlin Avenue,Utica,NY,13502-4894,Oneida,Central New York,Residential Treatment Facility - Children & Youth,Inpatient,Residential Treatment Facility - Children & Youth,1550 Champlin Avenue Utica Oneida NY US 13502-4894,43.1038487166028,-75.2721067185287
House of the Good Shepherd,House of the Good Shepherd - RTF Trans Coord,Children Adolescents,(315)235-7600,(315)235-7680,1550 Champlin Avenue,Utica,NY,13502-4894,Oneida,Central New York,Residential Treatment Facility Transition Coordinator - Community,Support,Care Coordination,1550 Champlin Avenue Utica Oneida NY US 13502-4894,43.1038487166028,-75.2721067185287
Human Technologies Corporation,Ongoing Integrated Supported Employment,Adults,(315)724-9891,(315)724-9891,2260 Dwyer Avenue,Utica,NY,13501,Oneida,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,2260 Dwyer Avenue Utica Oneida NY US 13501,43.093664,-75.191267
Mohawk Valley Psychiatric Center,Mobile Integration Team,Adults,(315)738-3800,(315)738-3946,1400 Noyes Street,Utica,NY,13502,Oneida,Central New York,Mobile Integration Team,Support,General Support,1400 Noyes Street Utica Oneida NY US 13502,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,Mohawk Valley PC - C&Y ICM,Children Adolescents,(315)738-3800,(315)738-4446x6113,1400 Noyes Street,Utica,NY,13502,Oneida,Central New York,Intensive Case Management,Support,Care Coordination,1400 Noyes Street Utica Oneida NY US 13502,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,Mohawk Valley PC - HHCM,Adults,(315)738-3800,(315)738-4446,1400 Noyes Street,Utica,NY,13502,Oneida,Central New York,Health Home Care Management,Support,Care Coordination,1400 Noyes Street Utica Oneida NY US 13502,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,MVPC ACT,Adults,(315)738-3800,(315)738-4023,1400 Noyes Street,Utica,NY,13502-3854,Oneida,Central New York,Assertive Community Treatment (ACT),Outpatient,Assertive Community Treatment,1400 Noyes Street Utica Oneida NY US 13502-3854,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,Psychiatric Inpatient Unit,Children Adolescents,(315)738-3800,(315)738-3800,1400 Noyes Street,Utica,NY,13502-3852,Oneida,Central New York,State Psychiatric Center Inpatient,Inpatient,State Psychiatric Center Inpatient,1400 Noyes Street Utica Oneida NY US 13502-3852,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,Rome Clinic,Adults,(315)738-3800,(315)336-6230,227 West Dominick Street,Rome,NY,13440-5859,Oneida,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,227 West Dominick Street Rome Oneida NY US 13440-5859,43.2118802,-75.460610847477
Mohawk Valley Psychiatric Center,Skilled Nursing Facility Enhanced Support Program,Adults,(315)738-3800,(315)738-3800,1400 Noyes Street,Utica,NY,13502,Oneida,Central New York,Nursing Home Support,Support,General Support,1400 Noyes Street Utica Oneida NY US 13502,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,Vocational Services at the Corner,Adults,(315)738-3800,(315)738-4420,1400 Noyes Street,Utica,NY,13502,Oneida,Central New York,Assisted Competitive Employment,Support,Vocational,1400 Noyes Street Utica Oneida NY US 13502,43.10406515,-75.2567235370106
Mohawk Valley Psychiatric Center,York Street Clinic,Adults,(315)738-3800,(315)738-2645,1400 Noyes Street,Utica,NY,13502-3854,Oneida,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,1400 Noyes Street Utica Oneida NY US 13502-3854,43.10406515,-75.2567235370106
NYS ARC Oneida-Lewis County Chapter,Assisted Competitive Employment,Adults,(315)735-6477,(315)735-6477x1505,245 Genesee Street,Utica,NY,13501-3401,Oneida,Central New York,Assisted Competitive Employment,Support,Vocational,245 Genesee Street Utica Oneida NY US 13501-3401,43.099989,-75.233894
NYS ARC Oneida-Lewis County Chapter,Ongoing Integrated Supported Employment,Adults,(315)735-6477,(315)735-6477x1641,245 Genesee Street,Utica,NY,13501-3401,Oneida,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,245 Genesee Street Utica Oneida NY US 13501-3401,43.099989,-75.233894
Resource Center for Independent Living,Health Home Care Management,Children Adolescents,(315)797-4642,(315)797-4642,409 Columbia St,Utica,NY,13503,Oneida,Central New York,Health Home Care Management,Support,Care Coordination,409 Columbia St Utica Oneida NY US 13503,43.1028690453338,-75.2360820035723
Resource Center for Independent Living,Health Home Non-Medicaid Care Management,Children Adolescents,(315)797-4642,(315)797-4642,409 Columbia St,Utica,NY,13503,Oneida,Central New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,409 Columbia St Utica Oneida NY US 13503,43.1028690453338,-75.2360820035723
Resource Center for Independent Living,Oneida County Follow Along,Adults,(315)797-4642,(315)797-4642x316,409 Columbia Street,Utica,NY,13503-0210,Oneida,Central New York,Assisted Competitive Employment,Support,Vocational,409 Columbia Street Utica Oneida NY US 13503-0210,43.1028690453338,-75.2360820035723
Resource Center for Independent Living,Ongoing Integrated Supportive Employment,Adults,(315)797-4642,(315)797-4642,409 Columbia Street,Utica,NY,13503,Oneida,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,409 Columbia Street Utica Oneida NY US 13503,43.1028690453338,-75.2360820035723
Rome Memorial Hospital Inc.,Rome Memorial Hospital Senior Behavioral Health Unit,Adults,(315)338-7000,(315)338-7399,1500 North James Street,Rome,NY,13440,Oneida,Central New York,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,1500 North James Street Rome Oneida NY US 13440,43.2295456,-75.442438928713
St. Elizabeth Medical Center,St. Elizabeth Medical Center Psychiatric Inpatient Unit,Adults,(315)801-8100,(315)801-8100,2209 Genesee Street,Utica,NY,13501-5930,Oneida,Central New York,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,2209 Genesee Street Utica Oneida NY US 13501-5930,43.0823195,-75.2662741
The Neighborhood Center Inc.,Adult Recovery Services,Not Reported,(315)272-2600,(315)272-2683,15-17 Hopper Street,Utica,NY,13501-3507,Oneida,Central New York,Psychosocial Club,Support,Self-Help,15-17 Hopper Street Utica Oneida NY US 13501-3507,43.098381607001,-75.2332950493711
The Neighborhood Center Inc.,Advocacy/Support Services,Children Adolescents Adults,(315)272-2600,(315)272-2700,628 Mary Street,Utica,NY,13501-2419,Oneida,Central New York,Advocacy/Support Services,Support,Self-Help,628 Mary Street Utica Oneida NY US 13501-2419,43.097088979254,-75.2210160951249
The Neighborhood Center Inc.,Assisted Competitive Employment,Adults,(315)272-2600,(315)272-2661,15-17 Hopper Street,Utica,NY,13501-3507,Oneida,Central New York,Assisted Competitive Employment,Support,Vocational,15-17 Hopper Street Utica Oneida NY US 13501-3507,43.098381607001,-75.2332950493711
The Neighborhood Center Inc.,Crisis Intervention,Children Adolescents Adults,(315)272-2600,(315)272-2700,628 Mary Street,Utica,NY,13501-2419,Oneida,Central New York,Crisis  Intervention,Emergency,Crisis,628 Mary Street Utica Oneida NY US 13501-2419,43.097088979254,-75.2210160951249
The Neighborhood Center Inc.,Dr. Rao Behavioral Health Clinic,Children Adolescents Adults,(315)272-2600,(315)272-2700,628-632 Mary Street,Utica,NY,13501-2419,Oneida,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,628-632 Mary Street Utica Oneida NY US 13501-2419,43.097088979254,-75.2210160951249
The Neighborhood Center Inc.,Neighborhood Center Behavioral Health - Rome,Children Adolescents Adults,(315)272-2600,(315)272-2730,195-199 West Dominick Street,Rome,NY,13440-5809,Oneida,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,195-199 West Dominick Street Rome Oneida NY US 13440-5809,43.21135083937,-75.4590237917349
The Neighborhood Center Inc.,Outreach,Children Adolescents Adults,(315)272-2600,(315)272-2661,15-17 Hopper Street,Utica,NY,13501-3507,Oneida,Central New York,Outreach,Support,General Support,15-17 Hopper Street Utica Oneida NY US 13501-3507,43.098381607001,-75.2332950493711
The Neighborhood Center Inc.,The Neighborhood Center - HH CM,Adults,(315)272-2600,(315)272-2700,15-17 Hopper Street,Utica,NY,13501,Oneida,Central New York,Health Home Care Management,Support,Care Coordination,15-17 Hopper Street Utica Oneida NY US 13501,43.098381607001,-75.2332950493711
The Neighborhood Center Inc.,The Neighborhood Center - HH Non- Med CM,Adults,(315)272-2600,(315)272-2700,15-17 Hopper Street,Utica,NY,13501-3507,Oneida,Central New York,Health Home Non-Medicaid Care Management,Support,Care Coordination,15-17 Hopper Street Utica Oneida NY US 13501-3507,43.098381607001,-75.2332950493711
Upstate Cerebral Palsy Inc.,Advocacy,Not Reported,(315)724-6907,(315)738-1428x236,1427 Genesee Streeet,Utica,NY,13501,Oneida,Central New York,Advocacy/Support Services,Support,Self-Help,1427 Genesee Streeet Utica Oneida NY US 13501,43.09414,-75.24608
Upstate Cerebral Palsy Inc.,Assisted Competitive Employment,Not Reported,(315)724-6907,(315)266-0627x227,3899 Oneida Street,New Hartford,NY,13413,Oneida,Central New York,Assisted Competitive Employment,Support,Vocational,3899 Oneida Street New Hartford Oneida NY US 13413,43.05158325,-75.2736093474594
Upstate Cerebral Palsy Inc.,Community Health & Behavioral Services Clinic Program,Children Adolescents Adults,(315)724-6907,(315)798-8869,1427 Genesee Street,Utica,NY,13501-4343,Oneida,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,1427 Genesee Street Utica Oneida NY US 13501-4343,43.0940918333333,-75.2459865
Upstate Cerebral Palsy Inc.,Early Recognition Coordination and Screening Program,Children Adolescents,(315)724-6907,(315)738-1428x236,1427 Genesee Street,Utica,NY,13501,Oneida,Central New York,Early Recognition Coordination and Screening Services,Support,General Support,1427 Genesee Street Utica Oneida NY US 13501,43.0940918333333,-75.2459865
Upstate Cerebral Palsy Inc.,Ongoing Integrated Supported Employment,Not Reported,(315)724-6907,(315)266-0627x227,3899 Oneida Street,New Hartford,NY,13413,Oneida,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,3899 Oneida Street New Hartford Oneida NY US 13413,43.05158325,-75.2736093474594
Upstate Cerebral Palsy Inc.,Spring House Psychosocial Club,Adults,(315)724-6907,(315)738-1428x0226,1427 Genesee Street,Utica,NY,13501,Oneida,Central New York,Psychosocial Club,Support,Self-Help,1427 Genesee Street Utica Oneida NY US 13501,43.0940918333333,-75.2459865
AccessCNY Inc.,Assisted Competitive Employment,Adults,(315)701-2402,(315)478-4151,420 E. Genesee St.,Syracuse,NY,13202,Onondaga,Central New York,Assisted Competitive Employment,Support,Vocational,420 E. Genesee St. Syracuse Onondaga NY US 13202,43.0479841229369,-76.1469620591841
AccessCNY Inc.,Bridge Services,Adults,(315)701-2402,(315)478-4151,420 E. Genesee St.,Syracuse,NY,13202,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,420 E. Genesee St. Syracuse Onondaga NY US 13202,43.0479841229369,-76.1469620591841
AccessCNY Inc.,CSS,Adults,(315)701-2402,(315)478-4151,420 E. Genesee St.,Syracuse,NY,13202,Onondaga,Central New York,Psychosocial Club,Support,Self-Help,420 E. Genesee St. Syracuse Onondaga NY US 13202,43.0479841229369,-76.1469620591841
AccessCNY Inc.,Drop In Centers,Adults,(315)701-2402,(315)475-1994,466 S. Salina St.,Syracuse,NY,13202,Onondaga,Central New York,Drop In Centers,Support,Self-Help,466 S. Salina St. Syracuse Onondaga NY US 13202,43.0453028250153,-76.1523721032757
AccessCNY Inc.,Ongoing Integrated Supported Employment Services,Adults,(315)701-2402,(315)478-4151,420 E. Genesee St.,Syracuse,NY,13202,Onondaga,Central New York,Ongoing Integrated Supported Employment Services,Support,Vocational,420 E. Genesee St. Syracuse Onondaga NY US 13202,43.0479841229369,-76.1469620591841
AccessCNY Inc.,Supported Education Program,Adults,(315)701-2402,(315)478-4151,420 E. Genesee St.,Syracuse,NY,13202,Onondaga,Central New York,Supported Education,Support,Education,420 E. Genesee St. Syracuse Onondaga NY US 13202,43.0479841229369,-76.1469620591841
AccessCNY Inc.,Transitional Employment Program,Adults,(315)701-2402,(315)472-3475,216 Walton St.,Syracuse,NY,13202,Onondaga,Central New York,Transitional Employment Placement (TEP),Support,Vocational,216 Walton St. Syracuse Onondaga NY US 13202,43.0480859,-76.1563619
AccessCNY Inc.,Trauma Initiative,Adults,(315)701-2402,(315)478-4151,601 Allen St.,Syracuse,NY,13210,Onondaga,Central New York,Self-Help Programs,Support,Self-Help,601 Allen St. Syracuse Onondaga NY US 13210,43.041506,-76.116484
AccessCNY Inc.,Unique Peerspectives,Adults,(315)701-2402,(315)475-1994,466 S. Salina St.,Syracuse,NY,13202,Onondaga,Central New York,Transportation,Support,General Support,466 S. Salina St. Syracuse Onondaga NY US 13202,43.0453028250153,-76.1523721032757
ARISE Child and Family Services Inc.,Arise Child & Family Service Outpatient MHC,Children Adolescents Adults,(315)472-3171,(315)472-3171,635 James Street,Syracuse,NY,13203-2226,Onondaga,Central New York,Clinic Treatment,Outpatient,Clinic Treatment,635 James Street Syracuse Onondaga NY US 13203-2226,43.055151,-76.14359355
ARISE Child and Family Services Inc.,Early Recognition Screening and Coordination,Children Adolescents,(315)472-3171,(315)472-3171,635 James Street,Syracuse,NY,13203,Onondaga,Central New York,Early Recognition Coordination and Screening Services,Support,General Support,635 James Street Syracuse Onondaga NY US 13203,43.055151,-76.14359355
Catholic Charities of Onondaga County,Better Beginnings,Children Adults,(315)424-1800,(315)362-7568,1654 West Onondaga Street,Syracuse,NY,13204,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,1654 West Onondaga Street Syracuse Onondaga NY US 13204,43.033794,-76.1811762653061
Catholic Charities of Onondaga County,Elder Advocacy Expansion,Adults,(315)424-1800,(315)424-1800,1654 W. Onondaga Street,Syracuse,NY,13204,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,1654 W. Onondaga Street Syracuse Onondaga NY US 13204,43.033794,-76.1811762653061
Catholic Charities of Onondaga County,Hope Connections for Community Integration,Adults,(315)424-1800,(315)362-7629,1654 West Onondaga Street,Syracuse,NY,13204,Onondaga,Central New York,Recovery Center,Support,Self-Help,1654 West Onondaga Street Syracuse Onondaga NY US 13204,43.033794,-76.1811762653061
Central New York Services Inc.,Central New York PROS,Adults,(315)478-2453,(315)478-2030,375 West Onondaga Street,Syracuse,NY,13202,Onondaga,Central New York,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,375 West Onondaga Street Syracuse Onondaga NY US 13202,43.0413154615385,-76.1562331538462
Central New York Services Inc.,Hutching's Integration Team,Adults,(315)478-2453,(315)478-2453,518 James Street,Syracuse,NY,13203,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,518 James Street Syracuse Onondaga NY US 13203,43.0537717,-76.1448861170862
Centre Syracuse LLC,Centre Syracuse,Adolescents Adults,(315)671-2202x2204,(315)671-2202x2204,3300 James Street,Syracuse,NY,13206-2387,Onondaga,Central New York,Partial Hospitalization,Outpatient,Partial Hospitalization,3300 James Street Syracuse Onondaga NY US 13206-2387,43.0688691,-76.1009263
Contact Community Services Inc.,C1ST MO AM,Adults,(315)251-1400,(315)251-1400x103,6311 Court Street Road,East Syracuse,NY,13057,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,6311 Court Street Road East Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Contact Community Services,Children Adolescents Adults,(315)251-1400,(315)251-1400x103,6311 Court Street Road,East Syracuse,NY,13057,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,6311 Court Street Road East Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Mental Health First Aid,Adults,(315)251-1400,(315)251-1400x103,6311 Court Street Road,East Syracuse,NY,13057-2942,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,6311 Court Street Road East Syracuse Onondaga NY US 13057-2942,43.090324,-76.08227
Contact Community Services Inc.,Prevention Education & Consultation,Children Adolescents Adults,(315)251-1400,(315)251-1400,6311 Court Street Road,East Syracuse,NY,13057,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,6311 Court Street Road East Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Primary Project,Children,(315)251-1400,(315)251-1400x103,6311 Court Street Road,East Syracuse,NY,13057,Onondaga,Central New York,School Based Mental Health,Support,Education,6311 Court Street Road East Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Primary Project - ESM,Children,(315)251-1400,(315)251-1400x122,6311 Court Street Road,E. Syracuse,NY,13057,Onondaga,Central New York,School Based Mental Health,Support,Education,6311 Court Street Road E. Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Primary Project - SCSD,Children,(315)251-1400,(315)251-1400x103,6311 Court Street Road,East Syracuse,NY,13057,Onondaga,Central New York,Promise Zone,Support,Education,6311 Court Street Road East Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Suicide Coalition,Not Reported,(315)251-1400,(315)251-1400x116,6311 Court Street Road,E. Syracuse,NY,13057,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,6311 Court Street Road E. Syracuse Onondaga NY US 13057,43.090324,-76.08227
Contact Community Services Inc.,Suicide/Crisis Hotline,Children Adolescents Adults,(315)251-1400,(315)251-1400,6311 Court Street Road,East Syracuse,NY,13057,Onondaga,Central New York,Outreach,Support,General Support,6311 Court Street Road East Syracuse Onondaga NY US 13057,43.090324,-76.08227
Coordinated Care Services Inc.,Five County Group,Children Adolescents Adults,(585)613-7616,(315)435-2884,421 Montgomery Street,Syracuse,NY,13202,Onondaga,Central New York,Advocacy/Support Services,Support,Self-Help,421 Montgomery Street Syracuse Onondaga NY US 13202,43.0457665,-76.1483453211162
